ts_iso,temp_c,humidity
PT0h20m12s,17.70,65.00
PT0h20m15s,17.70,65.10
PT0h20m18s,17.70,65.00
PT0h20m21s,17.70,65.00
PT0h20m24s,17.70,65.10
PT0h20m27s,17.70,65.00
PT0h20m30s,17.70,65.00
PT0h20m33s,17.70,65.00
PT0h20m36s,17.70,65.00
PT0h20m39s,17.70,65.00
PT0h20m42s,17.70,65.10
PT0h20m45s,17.70,65.20
PT0h20m48s,17.70,65.30
PT0h20m51s,17.70,65.30
PT0h20m54s,17.70,65.20
PT0h20m57s,17.70,65.20
PT0h21m0s,17.70,65.10
PT0h21m3s,17.70,65.10
PT0h21m6s,17.70,65.10
PT0h21m9s,17.70,65.00
PT0h21m12s,17.70,65.00
PT0h21m15s,17.70,65.00
PT0h21m18s,17.70,64.90
PT0h21m21s,17.70,64.90
PT0h21m24s,17.70,64.90
PT0h21m27s,17.80,64.90
PT0h21m30s,17.70,64.90
PT0h21m33s,17.80,64.90
PT0h21m36s,17.70,64.90
PT0h21m39s,17.70,64.90
PT0h21m42s,17.80,64.90
PT0h21m45s,17.70,64.90
PT0h21m48s,17.80,64.90
PT0h21m51s,17.80,64.80
PT0h21m54s,17.80,64.80
PT0h21m57s,17.80,64.80
PT0h22m0s,17.80,64.80
PT0h22m3s,17.80,64.80
PT0h22m6s,17.80,64.90
PT0h22m9s,17.80,64.90
PT0h22m12s,17.80,64.80
PT0h22m15s,17.80,64.90
PT0h22m18s,17.80,64.90
PT0h22m21s,17.80,64.80
PT0h22m24s,17.80,64.80
PT0h22m27s,17.80,64.80
PT0h22m30s,17.80,64.90
PT0h22m33s,17.80,64.90
PT0h22m36s,17.80,64.90
PT0h22m39s,17.80,64.90
PT0h22m42s,17.80,64.90
PT0h22m45s,17.80,64.80
PT0h22m48s,17.80,64.80
PT0h22m51s,17.80,64.90
PT0h22m54s,17.80,64.90
PT0h22m57s,17.80,64.80
PT0h23m0s,17.80,64.90
PT0h23m3s,17.80,64.90
PT0h23m6s,17.80,64.90
PT0h23m9s,17.80,64.90
PT0h23m12s,17.80,64.90
PT0h23m15s,17.80,64.90
PT0h23m18s,17.80,64.90
PT0h23m21s,17.80,64.90
PT0h23m24s,17.80,64.90
PT0h23m27s,17.80,64.90
PT0h23m30s,17.80,64.90
PT0h23m33s,17.80,64.90
PT0h23m36s,17.80,64.90
PT0h23m39s,17.80,64.90
PT0h23m42s,17.80,64.90
PT0h23m45s,17.80,64.90
PT0h23m48s,17.80,64.90
PT0h23m51s,17.80,64.90
PT0h23m54s,17.80,64.90
PT0h23m57s,17.80,65.00
PT0h24m0s,17.80,64.90
PT0h24m3s,17.80,64.90
PT0h24m6s,17.80,64.90
PT0h24m9s,17.80,64.90
PT0h24m12s,17.80,64.90
PT0h24m15s,17.80,64.90
PT0h24m18s,17.80,64.90
PT0h24m21s,17.80,64.90
PT0h24m24s,17.80,64.90
PT0h24m27s,17.80,64.90
PT0h24m30s,17.80,64.90
PT0h24m33s,17.80,64.90
PT0h24m36s,17.80,64.90
PT0h24m39s,17.80,64.90
PT0h24m42s,17.80,64.90
PT0h24m45s,17.80,64.90
PT0h24m48s,17.80,64.90
PT0h24m51s,17.80,64.90
PT0h24m54s,17.80,64.90
PT0h24m57s,17.80,64.90
PT0h25m0s,17.80,64.90
PT0h25m3s,17.80,65.10
PT0h25m6s,17.80,65.10
PT0h25m9s,17.80,65.10
PT0h25m12s,17.80,65.10
PT0h25m15s,17.80,65.00
PT0h25m18s,17.80,65.00
PT0h25m21s,17.80,65.00
PT0h25m24s,17.80,65.00
PT0h25m27s,17.80,65.00
PT0h25m30s,17.80,65.00
PT0h25m33s,17.80,65.00
PT0h25m36s,17.80,65.00
PT0h25m39s,17.80,65.00
PT0h25m42s,17.70,65.00
PT0h25m45s,17.70,65.00
PT0h25m48s,17.80,65.00
PT0h25m51s,17.70,65.00
PT0h25m54s,17.80,65.00
PT0h25m57s,17.70,65.00
PT0h26m0s,17.80,65.00
PT0h26m3s,17.70,65.00
PT0h26m6s,17.70,65.00
PT0h26m9s,17.70,65.00
PT0h26m12s,17.70,65.00
PT0h26m15s,17.70,65.00
PT0h26m18s,17.70,65.00
PT0h26m21s,17.70,65.00
PT0h26m24s,17.70,65.00
PT0h26m27s,17.70,65.00
PT0h26m30s,17.70,65.10
PT0h26m33s,17.70,65.00
PT0h26m36s,17.70,65.10
PT0h26m39s,17.70,65.10
PT0h26m42s,17.70,65.10
PT0h26m45s,17.70,65.10
PT0h26m48s,17.70,65.10
PT0h26m51s,17.70,65.10
PT0h26m54s,17.70,65.10
PT0h26m57s,17.70,65.00
PT0h27m0s,17.70,65.10
PT0h27m3s,17.70,65.10
PT0h27m6s,17.70,65.10
PT0h27m9s,17.70,65.10
PT0h27m12s,17.70,65.10
PT0h27m15s,17.70,65.10
PT0h27m18s,17.70,65.10
PT0h27m21s,17.70,65.10
PT0h27m24s,17.70,65.10
PT0h27m27s,17.70,65.10
PT0h27m30s,17.70,65.10
PT0h27m33s,17.70,65.10
PT0h27m36s,17.70,65.10
PT0h27m39s,17.70,65.10
PT0h27m42s,17.70,65.10
PT0h27m45s,17.70,65.10
PT0h27m48s,17.70,65.10
PT0h27m51s,17.70,65.10
PT0h27m54s,17.70,65.10
PT0h27m57s,17.70,65.10
PT0h28m0s,17.70,65.10
PT0h28m3s,17.70,65.10
PT0h28m6s,17.70,65.10
PT0h28m9s,17.70,65.10
PT0h28m12s,17.70,65.10
PT0h28m15s,17.70,65.10
PT0h28m18s,17.80,65.10
PT0h28m21s,17.70,65.10
PT0h28m24s,17.70,65.10
PT0h28m27s,17.70,65.10
PT0h28m30s,17.70,65.10
PT0h28m33s,17.70,65.10
PT0h28m36s,17.70,65.10
PT0h28m39s,17.70,65.10
PT0h28m42s,17.80,65.10
PT0h28m45s,17.80,65.10
PT0h28m48s,17.80,65.10
PT0h28m51s,17.80,65.10
PT0h28m54s,17.70,65.10
PT0h28m57s,17.80,65.20
PT0h29m0s,17.80,65.20
PT0h29m3s,17.70,65.20
PT0h29m6s,17.80,65.20
PT0h29m9s,17.70,65.20
PT0h29m12s,17.70,65.20
PT0h29m15s,17.80,65.20
PT0h29m18s,17.70,65.10
PT0h29m21s,17.80,65.20
PT0h29m24s,17.70,65.20
PT0h29m27s,17.70,65.20
PT0h29m30s,17.70,65.20
PT0h29m33s,17.80,65.20
PT0h29m36s,17.70,65.30
PT0h29m39s,17.70,65.30
PT0h29m42s,17.70,65.20
PT0h29m45s,17.80,65.20
PT0h29m48s,17.80,65.30
PT0h29m51s,17.80,65.30
PT0h29m54s,17.70,65.30
PT0h29m57s,17.70,65.40
PT0h30m0s,17.70,65.30
PT0h30m3s,17.80,65.30
PT0h30m6s,17.70,65.40
PT0h30m9s,17.70,65.40
PT0h30m12s,17.70,65.40
PT0h30m15s,17.70,65.30
PT0h30m18s,17.70,65.40
PT0h30m21s,17.70,65.40
PT0h30m24s,17.70,65.40
PT0h30m27s,17.70,65.40
PT0h30m30s,17.70,65.40
PT0h30m33s,17.70,65.40
PT0h30m36s,17.70,65.40
PT0h30m39s,17.70,65.40
PT0h30m42s,17.70,65.40
PT0h30m45s,17.70,65.40
PT0h30m48s,17.70,65.40
PT0h30m51s,17.70,65.40
PT0h30m54s,17.70,65.40
PT0h30m57s,17.70,65.40
PT0h31m0s,17.70,65.40
PT0h31m3s,17.70,65.40
PT0h31m6s,17.70,65.40
PT0h31m9s,17.70,65.40
PT0h31m12s,17.70,65.40
PT0h31m15s,17.70,65.40
PT0h31m18s,17.70,65.50
PT0h31m21s,17.70,65.40
PT0h31m24s,17.70,65.50
PT0h31m27s,17.70,65.50
PT0h31m30s,17.70,65.50
PT0h31m33s,17.70,65.50
PT0h31m36s,17.70,65.50
PT0h31m39s,17.70,65.50
PT0h31m42s,17.70,65.60
PT0h31m45s,17.70,65.50
PT0h31m48s,17.70,65.50
PT0h31m51s,17.70,65.60
PT0h31m54s,17.70,65.60
PT0h31m57s,17.70,65.60
PT0h32m0s,17.70,65.60
PT0h32m3s,17.70,65.60
PT0h32m6s,17.70,65.60
PT0h32m9s,17.70,65.60
PT0h32m12s,17.80,65.60
PT0h32m15s,17.80,65.60
PT0h32m18s,17.80,65.60
PT0h32m21s,17.80,65.60
PT0h32m24s,17.70,65.70
PT0h32m27s,17.80,65.60
PT0h32m30s,17.80,65.70
PT0h32m33s,17.80,65.70
PT0h32m36s,17.80,65.70
PT0h32m39s,17.70,65.70
PT0h32m42s,17.80,65.60
PT0h32m45s,17.80,65.70
PT0h32m48s,17.80,65.70
PT0h32m51s,17.80,65.60
PT0h32m54s,17.80,65.60
PT0h32m57s,17.80,65.60
PT0h33m0s,17.80,65.60
PT0h33m3s,17.80,65.70
PT0h33m6s,17.80,65.70
PT0h33m9s,17.80,65.60
PT0h33m12s,17.80,65.60
PT0h33m15s,17.80,65.60
PT0h33m18s,17.80,65.60
PT0h33m21s,17.80,65.60
PT0h33m24s,17.80,65.60
PT0h33m27s,17.80,65.50
PT0h33m30s,17.80,65.60
PT0h33m33s,17.80,65.60
PT0h33m36s,17.80,65.50
PT0h33m39s,17.80,65.50
PT0h33m42s,17.80,65.50
PT0h33m45s,17.80,65.60
PT0h33m48s,17.80,65.60
PT0h33m51s,17.80,65.60
PT0h33m54s,17.80,65.50
PT0h33m57s,17.80,65.50
PT0h34m0s,17.80,65.50
PT0h34m3s,17.80,65.50
PT0h34m6s,17.80,65.50
PT0h34m9s,17.80,65.60
PT0h34m12s,17.80,65.50
PT0h34m15s,17.80,65.50
PT0h34m18s,17.80,65.50
PT0h34m21s,17.80,65.50
PT0h34m24s,17.80,65.50
PT0h34m27s,17.80,65.50
PT0h34m30s,17.80,65.50
PT0h34m33s,17.80,65.50
PT0h34m36s,17.80,65.50
PT0h34m39s,17.80,65.40
PT0h34m42s,17.80,65.50
PT0h34m45s,17.80,65.50
PT0h34m48s,17.80,65.50
PT0h34m51s,17.80,65.50
PT0h34m54s,17.80,65.50
PT0h34m57s,17.80,65.50
PT0h35m0s,17.80,65.40
PT0h35m3s,17.80,65.40
PT0h35m6s,17.80,65.40
PT0h35m9s,17.80,65.40
PT0h35m12s,17.80,65.40
PT0h35m15s,17.80,65.40
PT0h35m18s,17.80,65.40
PT0h35m21s,17.80,65.40
PT0h35m24s,17.80,65.40
PT0h35m27s,17.80,65.40
PT0h35m30s,17.80,65.40
PT0h35m33s,17.80,65.40
PT0h35m36s,17.80,65.40
PT0h35m39s,17.80,65.40
PT0h35m42s,17.80,65.40
PT0h35m45s,17.80,65.40
PT0h35m48s,17.80,65.40
PT0h35m51s,17.80,65.40
PT0h35m54s,17.80,65.40
PT0h35m57s,17.80,65.40
PT0h36m0s,17.80,65.40
PT0h36m3s,17.80,65.50
PT0h36m6s,17.80,65.40
PT0h36m9s,17.80,65.50
PT0h36m12s,17.80,65.40
PT0h36m15s,17.80,65.50
PT0h36m18s,17.80,65.50
PT0h36m21s,17.80,65.50
PT0h36m24s,17.80,65.50
PT0h36m27s,17.80,65.40
PT0h36m30s,17.80,65.40
PT0h36m33s,17.80,65.40
PT0h36m36s,17.80,65.40
PT0h36m39s,17.80,65.40
PT0h36m42s,17.80,65.50
PT0h36m45s,17.80,65.80
PT0h36m48s,17.80,65.90
PT0h36m51s,17.80,65.90
PT0h36m54s,17.80,65.80
PT0h36m57s,17.80,65.70
PT0h37m0s,17.80,65.60
PT0h37m3s,17.80,65.50
PT0h37m6s,17.80,65.50
PT0h37m9s,17.80,65.40
PT0h37m12s,17.80,65.50
PT0h37m15s,17.80,65.40
PT0h37m18s,17.80,65.40
PT0h37m21s,17.80,65.30
PT0h37m24s,17.80,65.30
PT0h37m27s,17.80,65.30
PT0h37m30s,17.80,65.30
PT0h37m33s,17.80,65.30
PT0h37m36s,17.80,65.30
PT0h37m39s,17.80,65.30
PT0h37m42s,17.80,65.30
PT0h37m45s,17.80,65.30
PT0h37m48s,17.80,65.30
PT0h37m51s,17.80,65.40
PT0h37m54s,17.80,65.30
PT0h37m57s,17.80,65.30
PT0h38m0s,17.80,65.30
PT0h38m3s,17.80,65.30
PT0h38m6s,17.80,65.30
PT0h38m9s,17.80,65.30
PT0h38m12s,17.80,65.30
PT0h38m15s,17.80,65.20
PT0h38m18s,17.80,65.30
PT0h38m21s,17.80,65.20
PT0h38m24s,17.80,65.20
PT0h38m27s,17.80,65.20
PT0h38m30s,17.80,65.20
PT0h38m33s,17.80,65.20
PT0h38m36s,17.80,65.20
PT0h38m39s,17.80,65.20
PT0h38m42s,17.80,65.20
PT0h38m45s,17.80,65.20
PT0h38m48s,17.80,65.20
PT0h38m51s,17.80,65.10
PT0h38m54s,17.90,65.20
PT0h38m57s,17.80,65.30
PT0h39m0s,17.80,65.40
PT0h39m3s,17.80,65.40
PT0h39m6s,17.80,65.30
PT0h39m9s,17.80,65.30
PT0h39m12s,17.80,65.30
PT0h39m15s,17.90,65.30
PT0h39m18s,17.90,65.20
PT0h39m21s,17.90,65.20
PT0h39m24s,17.80,65.20
PT0h39m27s,17.90,65.20
PT0h39m30s,17.90,65.20
PT0h39m33s,17.90,65.20
PT0h39m36s,17.90,65.20
PT0h39m39s,17.80,65.20
PT0h39m42s,17.80,65.20
PT0h39m45s,17.90,65.20
PT0h39m48s,17.90,65.20
PT0h39m51s,17.90,65.20
PT0h39m54s,17.90,65.20
PT0h39m57s,17.90,65.20
PT0h40m0s,17.90,65.20
PT0h40m3s,17.90,65.20
PT0h40m6s,17.90,65.20
PT0h40m9s,17.90,65.20
PT0h40m12s,17.90,65.20
PT0h40m15s,17.90,65.20
PT0h40m18s,17.90,65.20
PT0h40m21s,17.90,65.20
PT0h40m24s,17.90,65.20
PT0h40m27s,17.90,65.20
PT0h40m30s,17.90,65.20
PT0h40m33s,17.90,65.20
PT0h40m36s,17.90,65.30
PT0h40m39s,17.90,65.20
PT0h40m42s,17.90,65.20
PT0h40m45s,17.90,65.20
PT0h40m48s,17.90,65.20
PT0h40m51s,17.90,65.20
PT0h40m54s,17.90,65.20
PT0h40m57s,17.90,65.20
PT0h41m0s,17.90,65.20
PT0h41m3s,17.90,65.20
PT0h41m6s,17.90,65.20
PT0h41m9s,17.90,65.20
PT0h41m12s,17.90,65.20
PT0h41m15s,17.90,65.20
PT0h41m18s,17.90,65.20
PT0h41m21s,17.90,65.20
PT0h41m24s,17.90,65.20
PT0h41m27s,17.90,65.20
PT0h41m30s,17.90,65.20
PT0h41m33s,17.90,65.20
PT0h41m36s,17.90,65.20
PT0h41m39s,17.90,65.20
PT0h41m42s,17.90,65.20
PT0h41m45s,17.90,65.20
PT0h41m48s,17.90,65.20
PT0h41m51s,17.90,65.20
PT0h41m54s,17.90,65.20
PT0h41m57s,17.90,65.30
PT0h42m0s,17.90,65.20
PT0h42m3s,17.90,65.20
PT0h42m6s,17.90,65.30
PT0h42m9s,17.90,65.30
PT0h42m12s,17.90,65.30
PT0h42m15s,17.90,65.20
PT0h42m18s,17.80,65.30
PT0h42m21s,17.90,65.30
PT0h42m24s,17.90,65.30
PT0h42m27s,17.90,65.30
PT0h42m30s,17.90,65.20
PT0h42m33s,17.80,65.30
PT0h42m36s,17.90,65.30
PT0h42m39s,17.90,65.20
PT0h42m42s,17.80,65.30
PT0h42m45s,17.90,65.30
PT0h42m48s,17.90,65.30
PT0h42m51s,17.90,65.30
PT0h42m54s,17.90,65.30
PT0h42m57s,17.90,65.30
PT0h43m0s,17.90,65.30
PT0h43m3s,17.90,65.30
PT0h43m6s,17.90,65.30
PT0h43m9s,17.80,65.30
PT0h43m12s,17.90,65.30
PT0h43m15s,17.90,65.30
PT0h43m18s,17.90,65.30
PT0h43m21s,17.80,65.30
PT0h43m24s,17.90,65.30
PT0h43m27s,17.90,65.30
PT0h43m30s,17.90,65.30
PT0h43m33s,17.90,65.30
PT0h43m36s,17.90,65.40
PT0h43m39s,17.90,65.30
PT0h43m42s,17.90,65.30
PT0h43m45s,17.80,65.30
PT0h43m48s,17.90,65.30
PT0h43m51s,17.90,65.30
PT0h43m54s,17.90,65.40
PT0h43m57s,17.90,65.30
PT0h44m0s,17.90,65.30
PT0h44m3s,17.90,65.30
PT0h44m6s,17.90,65.30
PT0h44m9s,17.90,65.30
PT0h44m12s,17.90,65.30
PT0h44m15s,17.90,65.30
PT0h44m18s,17.90,65.30
PT0h44m21s,17.90,65.20
PT0h44m24s,17.90,65.20
PT0h44m27s,17.90,65.20
PT0h44m30s,17.90,65.20
PT0h44m33s,17.90,65.20
PT0h44m36s,17.90,65.20
PT0h44m39s,17.90,65.20
PT0h44m42s,17.90,65.20
PT0h44m45s,17.90,65.20
PT0h44m48s,17.90,65.20
PT0h44m51s,17.90,65.20
PT0h44m54s,17.90,65.20
PT0h44m57s,17.90,65.20
PT0h45m0s,17.90,65.20
PT0h45m3s,17.90,65.10
PT0h45m6s,17.90,65.10
PT0h45m9s,17.90,65.10
PT0h45m12s,17.90,65.10
PT0h45m15s,17.90,65.10
PT0h45m18s,17.90,65.10
PT0h45m21s,17.90,65.10
PT0h45m24s,17.90,65.10
PT0h45m27s,17.90,65.10
PT0h45m30s,17.90,65.10
PT0h45m33s,17.90,65.10
PT0h45m36s,17.90,65.10
PT0h45m39s,17.90,65.10
PT0h45m42s,17.90,65.10
PT0h45m45s,17.90,65.10
PT0h45m48s,17.90,65.20
PT0h45m51s,17.90,65.10
PT0h45m54s,17.90,65.20
PT0h45m57s,17.90,65.10
PT0h46m0s,17.90,65.10
PT0h46m3s,17.90,65.10
PT0h46m6s,17.90,65.10
PT0h46m9s,17.90,65.10
PT0h46m12s,17.90,65.10
PT0h46m15s,17.90,65.10
PT0h46m18s,17.90,65.10
PT0h46m21s,17.90,65.10
PT0h46m24s,17.90,65.10
PT0h46m27s,17.90,65.20
PT0h46m30s,17.90,65.10
PT0h46m33s,17.90,65.10
PT0h46m36s,17.90,65.20
PT0h46m39s,17.90,65.10
PT0h46m42s,17.90,65.20
PT0h46m45s,17.90,65.10
PT0h46m48s,17.90,65.20
PT0h46m51s,17.90,65.20
PT0h46m54s,17.90,65.10
PT0h46m57s,17.90,65.20
PT0h47m0s,17.90,65.20
PT0h47m3s,17.90,65.20
PT0h47m6s,17.90,65.10
PT0h47m9s,17.90,65.20
PT0h47m12s,17.90,65.20
PT0h47m15s,17.90,65.20
PT0h47m18s,17.90,65.20
PT0h47m21s,17.90,65.20
PT0h47m24s,17.90,65.20
PT0h47m27s,17.90,65.20
PT0h47m30s,17.90,65.20
PT0h47m33s,17.90,65.20
PT0h47m36s,17.90,65.20
PT0h47m39s,17.90,65.20
PT0h47m42s,17.90,65.20
PT0h47m45s,17.90,65.20
PT0h47m48s,17.90,65.20
PT0h47m51s,17.90,65.20
PT0h47m54s,17.90,65.20
